"","X.x","image","img_name_noext","clusterid","selected","tweet_id","X.y","author_id","text","created_at.x","location","name","username","actor","allsides_url","bias_rating","ideology"
"60",404,"1054911721377275905.jpg","1054911721377275905",1,1,"1054911721377275905",5392,17469289,"Another migrant caravan reportedly heading to US border https://t.co/WMp6uKAmvM https://t.co/WRPIFqJUXw","2018-10-24T01:45:28.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"61",407,"991026018730196992.jpg","991026018730196992",1,1,"991026018730196992",4104,16273831,"Migrant Caravan Remains in Limbo at US Border https://t.co/isuTHyP4xd https://t.co/D2mgO30xRV","2018-04-30T18:46:29.000Z",NA,"The Voice of America","VOANews","News Media","https://www.allsides.com/news-source/voice-america",73,"Moderate"
"62",417,"1054878024515178496.jpg","1054878024515178496",3,1,"1054878024515178496",4600,39308549,"OPINION: Past Migrant Caravan Group Linked To Democrat Donors, Government Bureaucrats https://t.co/SzmcAZ6ioY https://t.co/LXmJRQqZo0","2018-10-23T23:31:34.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"63",419,"941404289766846464.jpg","941404289766846464",2,1,"941404289766846464",1478,110396781,"A caravan of Central American mothers march in Mexico City in search of their missing migrant children. https://t.co/ayfKnVd1gv","2017-12-14T20:27:27.000Z",NA,"AJ+","ajplus","News Media","https://www.allsides.com/news-source/aj-media-bias",71,"  Very
Liberal"
"64",420,"1054322682341310464.jpg","1054322682341310464",3,1,"1054322682341310464",1711,15012486,"Over the weekend more than 5,000 migrants forced their way into Mexico, surging past police barricades and crossing a river on makeshift rafts. Ahead on @cbsthismorning, @AdrianaSDiaz reports from the Southern Mexican town of Tapachula where she's following the migrant caravan. https://t.co/iKj1op4Txr","2018-10-22T10:44:50.000Z","New York, NY","CBS News","CBSNews","News Media","https://www.allsides.com/news-source/cbs-news-media-bias",72," Moderate
Liberal"
"65",421,"1061313816879947781.jpg","1061313816879947781",2,1,"1061313816879947781",5227,2884771,"U.S. military has seen no evidence to support DHS, White House claim there are 270 criminals in the migrant caravan https://t.co/DH3g93yVqp https://t.co/kIL9XO2ljf","2018-11-10T17:45:06.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"66",426,"1052257921399181312.jpg","1052257921399181312",3,1,"1052257921399181312",5477,2884771,"Trump threatens to cut aid to Honduras if ""March of the Migrant"" caravan reaches U.S. border https://t.co/SZOWI4oLSV https://t.co/3HbBz1EOye","2018-10-16T18:00:13.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"67",437,"981260812361777152.jpg","981260812361777152",1,1,"981260812361777152",4126,16273831,"Honduras Strikes Back at Trump's Threat over Migrant 'Caravan' https://t.co/3za2GH0JZI https://t.co/Pt9tOzePcR","2018-04-03T20:03:03.000Z",NA,"The Voice of America","VOANews","News Media","https://www.allsides.com/news-source/voice-america",73,"Moderate"
"68",438,"982022573704863745.jpg","982022573704863745",4,1,"982022573704863745",3291,17994536,"Trump: Migrant ‘women are raped at levels that nobody has ever seen’ https://t.co/N4qieOuTy8 https://t.co/mVKT5m2CcU","2018-04-05T22:30:01.000Z","Portland, Oregon","KATU News","KATUNews","News Media","https://www.allsides.com/news-source/katu-media-bias",73,"Moderate"
"69",443,"1054792474550562817.jpg","1054792474550562817",0,1,"1054792474550562817",4606,39308549,"Migrant Mass Making Dangerous Trip To US Border With Young Children https://t.co/5K1VlxChzi https://t.co/KS6RHbyTIt","2018-10-23T17:51:37.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"70",453,"1063124493835665413_3.jpg","1063124493835665413_3",2,1,"1063124493835665413",743,7309052,"U.S. troops help fortify southern border as migrant caravan approaches https://t.co/n5UaZv5qSK via @yahoophoto https://t.co/ir9jSvI70V","2018-11-15T17:40:05.000Z","New York City","Yahoo News","YahooNews","News Media","https://www.allsides.com/news-source/yahoo-news-media-bias",72," Moderate
Liberal"
